frequency,wavelength,amplitude,channel1_intensity
66,740.25,1.0,60.53032382046469
66,740.25,2.0,35.46030397432294
66,740.25,3.0,49.85694833687016
66,740.25,4.0,63.138522702356006
66,740.25,5.0,61.2777573537168
66,740.25,6.0,72.35779034230688
66,740.25,7.0,60.98095848215695
66,740.25,8.0,109.82077113234804
66,740.25,9.0,98.34497667422504
66,740.25,10.0,104.6272965994263
66,740.25,11.0,131.40344135710123
66,740.25,12.0,146.37780318555588
66,740.25,13.0,187.42309213669753
66,740.25,14.0,181.19498555536245
66,740.25,15.0,179.25251755674068
66,740.25,16.0,229.25979549922369
66,740.25,17.0,218.25747568109165
66,740.25,18.0,280.5363584132451
66,740.25,19.0,288.69306903807774
66,740.25,20.0,299.4046259568946
66,740.25,21.0,325.5420601758768
66,740.25,22.0,349.3693109277177
66,740.25,23.0,393.32874731223285
66,740.25,24.0,416.36484303306946
66,740.25,25.0,457.20465686506134
66,740.25,26.0,500.33640362146446
66,740.25,27.0,508.6225776394993
66,740.25,28.0,521.6506560170586
66,740.25,29.0,570.1866314843114
66,740.25,30.0,591.0233134879846
66,740.25,31.0,605.7113617565349
66,740.25,32.0,630.0789182483636
66,740.25,33.0,698.5387443430948
66,740.25,34.0,701.8751797171926
66,740.25,35.0,720.2628514561486
66,740.25,36.0,746.9097997380513
66,740.25,37.0,783.6294823727812
66,740.25,38.0,785.8579565160679
66,740.25,39.0,808.8970711877062
66,740.25,40.0,821.8444179069257
66,740.25,41.0,846.2210867251827
66,740.25,42.0,883.5734395060026
66,740.25,43.0,897.6885964061952
66,740.25,44.0,913.1245199758123
66,740.25,45.0,937.5628029077291
66,740.25,46.0,936.2385203357086
66,740.25,47.0,952.3090822354745
66,740.25,48.0,976.5857082479872
66,740.25,49.0,1004.0298680734778
66,740.25,50.0,1008.7518537741499
66,740.25,51.0,1052.963366972438
66,740.25,52.0,1031.8907171870032
66,740.25,53.0,1033.4180797658812
66,740.25,54.0,1049.9865139665633
66,740.25,55.0,1069.8987304041268
66,740.25,56.0,1080.5760033061324
66,740.25,57.0,1060.9710524438633
66,740.25,58.0,1079.7299703673764
66,740.25,59.0,1074.3329744408525
66,740.25,60.0,1095.7657959083065
66,740.25,61.0,1109.464171757737
66,740.25,62.0,1119.457106482852
66,740.25,63.0,1104.594755258932
66,740.25,64.0,1098.8208876419071
66,740.25,65.0,1098.439314204615
66,740.25,66.0,1075.4193196125932
66,740.25,67.0,1088.0184861170162
66,740.25,68.0,1076.103244447685
66,740.25,69.0,1064.5330780285803
66,740.25,70.0,1073.74695945563
66,740.25,71.0,1061.8924828534477
66,740.25,72.0,1071.2298744687578
66,740.25,73.0,1081.5199406985973
66,740.25,74.0,1044.4644337769257
66,740.25,75.0,1038.3791301347724
66,740.25,76.0,1008.2323160347596
66,740.25,77.0,1036.3887158763832
66,740.25,78.0,1026.7339595592762
66,740.25,79.0,1003.0422968073301
66,740.25,80.0,1015.1666984099005
66,740.25,81.0,1025.7649411677842
66,740.25,82.0,1006.0748004768743
66,740.25,83.0,987.4494675365504
66,740.25,84.0,981.1106664062912
66,740.25,85.0,967.4807406668414
66,740.25,86.0,955.4442660290458
66,740.25,87.0,982.6555217336427
66,740.25,88.0,1015.7838123318867
66,740.25,89.0,997.8064979783294
66,740.25,90.0,950.1416430984461
66,740.25,91.0,972.4169970495369
66,740.25,92.0,962.9810901672663
66,740.25,93.0,969.0232776757367
66,740.25,94.0,1013.1875468544945
66,740.25,95.0,986.6228131886805
66,740.25,96.0,988.8950404893158
66,740.25,97.0,1015.126829982097
66,740.25,98.0,998.7686573650585
66,740.25,99.0,1022.0272211240929
66,740.25,100.0,1012.9758483990436
67,730.97,1.0,140.6785448340974
67,730.97,2.0,30.130775922749176
67,730.97,3.0,58.008192772671336
67,730.97,4.0,41.24542040947857
67,730.97,5.0,66.68875742843929
67,730.97,6.0,52.88509855397144
67,730.97,7.0,60.909469699617034
67,730.97,8.0,83.3578902850257
67,730.97,9.0,101.80877315369617
67,730.97,10.0,109.68960429779196
67,730.97,11.0,136.4095852402217
67,730.97,12.0,157.6103894204204
67,730.97,13.0,163.06077011610535
67,730.97,14.0,198.27171878613436
67,730.97,15.0,189.35625072975495
67,730.97,16.0,213.73485948499672
67,730.97,17.0,238.95965823682857
67,730.97,18.0,293.27122067645996
67,730.97,19.0,294.63442833410505
67,730.97,20.0,311.44966528182164
67,730.97,21.0,365.6002922688477
67,730.97,22.0,378.4976799978174
67,730.97,23.0,397.6377462966829
67,730.97,24.0,471.5457699491888
67,730.97,25.0,498.4384068601218
67,730.97,26.0,495.9875053800997
67,730.97,27.0,542.4895586404947
67,730.97,28.0,562.4871318777757
67,730.97,29.0,579.354519402342
67,730.97,30.0,639.1685375194097
67,730.97,31.0,639.282538376891
67,730.97,32.0,674.7695792725696
67,730.97,33.0,699.7815299247719
67,730.97,34.0,752.0419576157323
67,730.97,35.0,768.5078794367458
67,730.97,36.0,799.5685448834017
67,730.97,37.0,842.4090290441952
67,730.97,38.0,852.9883315536113
67,730.97,39.0,862.9605017202288
67,730.97,40.0,905.9236607058027
67,730.97,41.0,929.8045567901976
67,730.97,42.0,946.1550122627037
67,730.97,43.0,961.1977277607996
67,730.97,44.0,987.4763085557474
67,730.97,45.0,1021.3467018454105
67,730.97,46.0,1055.1670704268479
67,730.97,47.0,1059.729409149735
67,730.97,48.0,1084.8732251360802
67,730.97,49.0,1097.9103095395112
67,730.97,50.0,1107.6394321590878
67,730.97,51.0,1133.5992598078756
67,730.97,52.0,1143.8160308733095
67,730.97,53.0,1156.9862358891476
67,730.97,54.0,1184.9688353021006
67,730.97,55.0,1172.9766709649853
67,730.97,56.0,1199.1834832065765
67,730.97,57.0,1208.6091253596153
67,730.97,58.0,1215.3897808987535
67,730.97,59.0,1226.0581792874066
67,730.97,60.0,1249.8730867897004
67,730.97,61.0,1234.7003661316335
67,730.97,62.0,1252.261452585619
67,730.97,63.0,1243.9562633612159
67,730.97,64.0,1249.7689105743775
67,730.97,65.0,1238.3155290960087
67,730.97,66.0,1249.1808394815077
67,730.97,67.0,1256.9570867573557
67,730.97,68.0,1244.5379648437402
67,730.97,69.0,1270.941839901192
67,730.97,70.0,1270.8767048692214
67,730.97,71.0,1246.2638183246645
67,730.97,72.0,1266.096613085737
67,730.97,73.0,1258.776117187685
67,730.97,74.0,1278.1828197615353
67,730.97,75.0,1241.4736067092635
67,730.97,76.0,1248.6112512809727
67,730.97,77.0,1255.6546866988504
67,730.97,78.0,1251.3530129266844
67,730.97,79.0,1238.303806343964
67,730.97,80.0,1232.4062887511234
67,730.97,81.0,1228.8824366220445
67,730.97,82.0,1232.7191196396896
67,730.97,83.0,1217.707974351433
67,730.97,84.0,1217.010839791166
67,730.97,85.0,1232.9421341387247
67,730.97,86.0,1237.805312732462
67,730.97,87.0,1263.4634749066545
67,730.97,88.0,1256.41556655189
67,730.97,89.0,1251.5668872377885
67,730.97,90.0,1262.5485558720468
67,730.97,91.0,1255.6094084103354
67,730.97,92.0,1256.5281654422035
67,730.97,93.0,1253.1513489406977
67,730.97,94.0,1272.6513025278657
67,730.97,95.0,1274.6326251198236
67,730.97,96.0,1285.4031526262454
67,730.97,97.0,1281.45588851855
67,730.97,98.0,1296.5907691072177
67,730.97,99.0,1307.4874570849965
67,730.97,100.0,1327.4297091094295
68,721.7,1.0,85.56448542518766
