# Wavelength(nm) R_CMF G_CMF B_CMF
470 0.00000000 0.00000000 0.50173053
480 -0.01982610 0.04590678 0.29319269
482 -0.02211049 0.05347667 0.27236545
483 -0.02330421 0.05740193 0.26192808
484 -0.02448320 0.06236129 0.23954119
485 -0.02564578 0.06734486 0.21853984
486 -0.02680142 0.07237667 0.19884008
488 -0.02926601 0.07742682 0.23134317
489 -0.03074129 0.08233666 0.22176778
490 -0.03222576 0.08750817 0.21141292
491 -0.03289744 0.09367951 0.18603933
492 -0.03352029 0.10002585 0.16095550
493 -0.03423641 0.10648662 0.13775743
494 -0.03457129 0.11203320 0.12683672
495 -0.03490171 0.11789264 0.11457794
497 -0.03836945 0.12887065 0.12443044
499 -0.04024585 0.14201947 0.11104562
500 -0.04130571 0.14918708 0.10450450
501 -0.04187753 0.15645730 0.09912650
502 -0.04249749 0.16411608 0.09389660
504 -0.04231040 0.17991708 0.07986598
505 -0.04163431 0.18796954 0.07136206
506 -0.04106526 0.19618256 0.06315955
507 -0.04602285 0.20549433 0.07572192
508 -0.04566851 0.21389701 0.07051482
509 -0.04529959 0.22247817 0.06547307
510 -0.04497455 0.23128645 0.06060782
511 -0.04392349 0.23993741 0.05622579
512 -0.04290722 0.24877183 0.05175757
513 -0.04189564 0.25771238 0.04723889
515 -0.03516390 0.27340931 0.03910196
516 -0.03176857 0.28126126 0.03421110
517 -0.03798707 0.29243073 0.04294603
518 -0.03520468 0.30036964 0.03740666
519 -0.03227665 0.30812626 0.03003929
520 -0.04036345 0.31944536 0.03803486
521 -0.03701619 0.32602407 0.03353171
523 -0.03006983 0.33808898 0.02281602
524 -0.00000000 0.33271961 0.00000000
525 -0.00000000 0.33929096 0.00000000
526 -0.00000000 0.34566965 0.00000000
528 -0.00000000 0.35773040 0.00000000
530 0.00000000 0.36872053 0.00000000
549 0.11146884 0.37498855 -0.02498233
550 0.12095932 0.37154246 -0.02541999
551 0.13310202 0.36668224 -0.02556247
552 0.14528026 0.36164912 -0.02573524
553 0.15751370 0.35641750 -0.02572519
554 0.14525231 0.36234935 -0.02548041
555 0.15664777 0.35719594 -0.02570472
556 0.16801108 0.35188568 -0.02586778
557 0.15363901 0.35832973 -0.02619385
558 0.16528680 0.35251930 -0.02622425
559 0.17680656 0.34658220 -0.02632650
560 0.18818983 0.34050973 -0.02647941
561 0.20095724 0.33355047 -0.02622497
562 0.21374336 0.32638440 -0.02592998
563 0.22650410 0.31903533 -0.02557364
564 0.24112541 0.31062697 -0.02499343
565 0.25585094 0.30200571 -0.02450500
567 0.25328601 0.29914339 -0.02428217
568 0.26709216 0.29044877 -0.02392621
569 0.28088042 0.28158589 -0.02354002
570 0.26194253 0.28776140 -0.02391758
571 0.27575705 0.27851834 -0.02334778
572 0.28978915 0.26898533 -0.02257496
573 0.30401534 0.25919239 -0.02172030
574 0.31843216 0.24914643 -0.02077469
575 0.33299576 0.23888195 -0.01983926
577 0.32704548 0.23427656 -0.01935245
578 0.34124259 0.22374432 -0.01837725
579 0.35550998 0.21303141 -0.01741183
580 0.33413990 0.21879014 -0.01800241
582 0.36085602 0.19748346 -0.01646873
583 0.37471181 0.18640425 -0.01575819
584 0.38671990 0.17603268 -0.01462095
585 0.39899865 0.16542068 -0.01334191
586 0.41134802 0.15466851 -0.01191137
587 0.38851840 0.16026970 -0.01238869
589 0.41466253 0.13772707 -0.00980276
590 0.39289434 0.14264702 -0.01029981
591 0.40383165 0.13227215 -0.00938775
